shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Interborough_Express,-74.02623699746808,40.64039813725953,0,
Interborough_Express,-74.0243160767365,40.639255128804265,1,
Interborough_Express,-74.02203549613135,40.63784265553172,2,
Interborough_Express,-74.02145100138294,40.63759408966551,3,
Interborough_Express,-74.02078493527944,40.637415963317586,4,
Interborough_Express,-74.01988975154191,40.63719776526315,5,
Interborough_Express,-74.0164875865935,40.636238229990404,6,
Interborough_Express,-74.01166005424092,40.634997427168415,7,
Interborough_Express,-74.01022925492394,40.63452715406985,8,
Interborough_Express,-74.0094363936131,40.63411009916999,9,
Interborough_Express,-74.00514931215706,40.63149458290592,10,
Interborough_Express,-74.00139846994654,40.62922040406154,11,
Interborough_Express,-73.99692768641863,40.62655671803885,12,
Interborough_Express,-73.99588818468928,40.626014991565135,13,
Interborough_Express,-73.99495663926677,40.625678097760435,14,
Interborough_Express,-73.99408449753774,40.62547242691838,15,
Interborough_Express,-73.993134165247,40.62534641559417,16,
Interborough_Express,-73.99228385653699,40.625338453859264,17,
Interborough_Express,-73.99122466519476,40.625404698912504,18,
Interborough_Express,-73.98971183143394,40.62556546665656,19,
Interborough_Express,-73.9846488629383,40.626029831890705,20,
Interborough_Express,-73.98337964290752,40.626194923559844,21,
Interborough_Express,-73.98206926980414,40.62638011995302,22,
Interborough_Express,-73.9765251216139,40.62726504916881,23,
Interborough_Express,-73.9738587320965,40.62775260847548,24,
Interborough_Express,-73.9725588040909,40.62793955614945,25,
Interborough_Express,-73.97088874732897,40.62813203331815,26,
Interborough_Express,-73.96738322710655,40.62850869433592,27,
Interborough_Express,-73.96444600297214,40.62880737294847,28,
Interborough_Express,-73.96164880990145,40.62910642477062,29,
Interborough_Express,-73.95812467904702,40.62945903311759,30,
Interborough_Express,-73.95289623176438,40.63000841592879,31,
Interborough_Express,-73.94883968414919,40.63044535854018,32,
Interborough_Express,-73.94594073153215,40.630765311929665,33,
Interborough_Express,-73.94166303195571,40.631215280781696,34,
Interborough_Express,-73.94079170502204,40.631353419329585,35,
Interborough_Express,-73.9398815299912,40.63154100149104,36,
Interborough_Express,-73.93882986391164,40.631837454675704,37,
Interborough_Express,-73.9377848763964,40.63221353857896,38,
Interborough_Express,-73.9369451340262,40.63253654194294,39,
Interborough_Express,-73.93600839983759,40.63300903442752,40,
Interborough_Express,-73.93280621494942,40.63468463906636,41,
Interborough_Express,-73.9287913449997,40.63677629677282,42,
Interborough_Express,-73.9259133489921,40.63828110331068,43,
Interborough_Express,-73.9250686947563,40.638727707145215,44,
Interborough_Express,-73.92418959560688,40.63925920158289,45,
Interborough_Express,-73.92328450623762,40.63993453262039,46,
Interborough_Express,-73.9214596440705,40.64142103545866,47,
Interborough_Express,-73.91975854246584,40.642786105721896,48,
Interborough_Express,-73.9177481862189,40.6443716416266,49,
Interborough_Express,-73.91679585539022,40.645135302775486,50,
Interborough_Express,-73.91602818168775,40.645707152671335,51,
Interborough_Express,-73.91526298420254,40.64622436082805,52,
Interborough_Express,-73.91371903702917,40.6472009635295,53,
Interborough_Express,-73.90615993697834,40.65212410826008,54,
Interborough_Express,-73.9029870912161,40.65418295042374,55,
Interborough_Express,-73.90218932976701,40.65470359009732,56,
Interborough_Express,-73.90145869122695,40.65523761679172,57,
Interborough_Express,-73.90115213579188,40.6555264763841,58,
Interborough_Express,-73.9007859768963,40.65589436667928,59,
Interborough_Express,-73.90048345912348,40.656244182992246,60,
Interborough_Express,-73.90025260582205,40.65657848320869,61,
Interborough_Express,-73.89996582785444,40.65712440297368,62,
Interborough_Express,-73.89974786153978,40.65763170494916,63,
Interborough_Express,-73.89959846826255,40.65834896264212,64,
Interborough_Express,-73.89959005044689,40.65909012274972,65,
Interborough_Express,-73.89967076121825,40.659768366086034,66,
Interborough_Express,-73.90065300290453,40.663718618563664,67,
Interborough_Express,-73.90174593800072,40.66785745934753,68,
Interborough_Express,-73.90302442103338,40.672725559194646,69,
Interborough_Express,-73.90369440952622,40.67527771755716,70,
Interborough_Express,-73.90583801068095,40.68382304067081,71,
Interborough_Express,-73.90591874419506,40.68441070597145,72,
Interborough_Express,-73.9059093377078,40.685041090628076,73,
Interborough_Express,-73.9058194795239,40.68567196044176,74,
Interborough_Express,-73.90571175827128,40.686281967954955,75,
Interborough_Express,-73.90553007201585,40.686889271806514,76,
Interborough_Express,-73.90512895958756,40.687744800658365,77,
Interborough_Express,-73.9047049270905,40.68839268894205,78,
Interborough_Express,-73.9043605249187,40.68883914872713,79,
Interborough_Express,-73.90220931506339,40.69103435134819,80,
Interborough_Express,-73.90123719190744,40.6921365936363,81,
Interborough_Express,-73.90057842325828,40.69312668092849,82,
Interborough_Express,-73.89966317914136,40.6947497923515,83,
Interborough_Express,-73.89898985821299,40.69581219269967,84,
Interborough_Express,-73.89865888193326,40.69629152340874,85,
Interborough_Express,-73.89809168212506,40.697014351118206,86,
Interborough_Express,-73.89749820487461,40.69768555313645,87,
Interborough_Express,-73.89695396694628,40.69824764415226,88,
Interborough_Express,-73.89440994225832,40.70072314943702,89,
Interborough_Express,-73.89388559711354,40.70121398386276,90,
Interborough_Express,-73.89326982624456,40.70188561653722,91,
Interborough_Express,-73.89268744384863,40.70254784869334,92,
Interborough_Express,-73.89221607536886,40.70309526267097,93,
Interborough_Express,-73.89165507790236,40.70379862827748,94,
Interborough_Express,-73.89127857869524,40.70437275027667,95,
Interborough_Express,-73.89098730009145,40.70492203450008,96,
Interborough_Express,-73.89059198705867,40.70609149904632,97,
